"id";"tanggal";"produk";"lokasi";"stok";"kualitas";"harga";"lat";"lon"
79;"2025-04-28";"Pisang";"Balikpapan";331;"Buruk";12;-1.2675;116.829
80;"2025-04-01";"Jeruk";"Balikpapan";467;"Sedang";18;-1.2675;116.829
81;"2025-04-20";"Jeruk";"Balikpapan";331;"Bagus";22;-1.2675;116.829
82;"2025-04-21";"Pisang";"Balikpapan";613;"Bagus";15;-1.2675;116.829
83;"2025-05-02";"Durian";"Balikpapan";242;"Buruk";41;-1.2675;116.829
84;"2025-04-18";"Pepaya";"Balikpapan";967;"Buruk";10;-1.2675;116.829
85;"2025-04-03";"Pisang";"Balikpapan";798;"Bagus";15;-1.2675;116.829
86;"2025-04-12";"Mangga";"Balikpapan";465;"Buruk";16;-1.2675;116.829
87;"2025-04-26";"Pisang";"Balikpapan";400;"Bagus";13;-1.2675;116.829
88;"2025-04-16";"Pepaya";"Balikpapan";688;"Bagus";8;-1.2675;116.829
89;"2025-04-22";"Apel";"Balikpapan";773;"Sedang";21;-1.2675;116.829
90;"2025-04-07";"Apel";"Balikpapan";472;"Sedang";21;-1.2675;116.829
91;"2025-04-08";"Pisang";"Balikpapan";644;"Sedang";11;-1.2675;116.829
92;"2025-04-20";"Pisang";"Balikpapan";501;"Sedang";10;-1.2675;116.829
93;"2025-04-16";"Rambutan";"Balikpapan";316;"Buruk";15;-1.2675;116.829
94;"2025-04-21";"Pepaya";"Balikpapan";581;"Sedang";8;-1.2675;116.829
95;"2025-04-12";"Pisang";"Balikpapan";940;"Sedang";15;-1.2675;116.829
96;"2025-04-25";"Pepaya";"Balikpapan";643;"Bagus";10;-1.2675;116.829
97;"2025-04-01";"Rambutan";"Balikpapan";239;"Buruk";17;-1.2675;116.829
98;"2025-04-26";"Durian";"Balikpapan";856;"Buruk";36;-1.2675;116.829
99;"2025-04-01";"Apel";"Balikpapan";848;"Bagus";30;-1.2675;116.829
100;"2025-04-16";"Mangga";"Balikpapan";364;"Sedang";20;-1.2675;116.829
101;"2025-04-24";"Rambutan";"Balikpapan";727;"Bagus";18;-1.2675;116.829
102;"2025-04-05";"Pisang";"Balikpapan";597;"Buruk";13;-1.2675;116.829
103;"2025-04-07";"Rambutan";"Balikpapan";204;"Bagus";16;-1.2675;116.829
104;"2025-05-05";"Pepaya";"Balikpapan";938;"Sedang";8;-1.2675;116.829
105;"2025-05-02";"Pisang";"Balikpapan";379;"Bagus";14;-1.2675;116.829
106;"2025-05-03";"Apel";"Balikpapan";744;"Bagus";24;-1.2675;116.829
107;"2025-05-02";"Pepaya";"Balikpapan";865;"Sedang";10;-1.2675;116.829
108;"2025-04-02";"Rambutan";"Balikpapan";710;"Bagus";14;-1.2675;116.829
109;"2025-04-17";"Mangga";"Balikpapan";896;"Sedang";20;-1.2675;116.829
110;"2025-04-27";"Jeruk";"Balikpapan";644;"Bagus";22;-1.2675;116.829
111;"2025-05-02";"Mangga";"Balikpapan";505;"Buruk";18;-1.2675;116.829
112;"2025-04-22";"Mangga";"Balikpapan";837;"Bagus";16;-1.2675;116.829
113;"2025-04-05";"Mangga";"Balikpapan";214;"Bagus";15;-1.2675;116.829
114;"2025-04-10";"Mangga";"Balikpapan";907;"Bagus";17;-1.2675;116.829
115;"2025-04-29";"Durian";"Balikpapan";780;"Bagus";45;-1.2675;116.829
116;"2025-05-02";"Apel";"Balikpapan";925;"Buruk";23;-1.2675;116.829
117;"2025-04-09";"Rambutan";"Balikpapan";363;"Buruk";13;-1.2675;116.829
118;"2025-05-05";"Pepaya";"Balikpapan";465;"Sedang";7;-1.2675;116.829
119;"2025-04-15";"Mangga";"Balikpapan";846;"Bagus";20;-1.2675;116.829
120;"2025-04-12";"Pepaya";"Balikpapan";302;"Bagus";10;-1.2675;116.829
121;"2025-04-25";"Mangga";"Balikpapan";388;"Sedang";17;-1.2675;116.829
122;"2025-04-30";"Pisang";"Balikpapan";956;"Buruk";15;-1.2675;116.829
123;"2025-04-06";"Rambutan";"Balikpapan";753;"Bagus";14;-1.2675;116.829
124;"2025-04-07";"Pepaya";"Balikpapan";762;"Buruk";7;-1.2675;116.829
125;"2025-04-24";"Rambutan";"Balikpapan";674;"Sedang";16;-1.2675;116.829
126;"2025-04-27";"Durian";"Balikpapan";843;"Sedang";44;-1.2675;116.829
127;"2025-04-18";"Pisang";"Balikpapan";890;"Buruk";14;-1.2675;116.829
128;"2025-04-23";"Mangga";"Balikpapan";715;"Bagus";20;-1.2675;116.829
129;"2025-04-11";"Durian";"Balikpapan";591;"Buruk";44;-1.2675;116.829
130;"2025-04-19";"Pisang";"Balikpapan";214;"Bagus";12;-1.2675;116.829
131;"2025-04-10";"Pisang";"Balikpapan";994;"Buruk";12;-1.2675;116.829
132;"2025-04-15";"Pisang";"Balikpapan";277;"Sedang";12;-1.2675;116.829
133;"2025-05-04";"Mangga";"Balikpapan";813;"Bagus";19;-1.2675;116.829
134;"2025-04-05";"Rambutan";"Balikpapan";859;"Buruk";18;-1.2675;116.829
135;"2025-04-02";"Jeruk";"Balikpapan";365;"Sedang";18;-1.2675;116.829
136;"2025-04-15";"Apel";"Balikpapan";241;"Buruk";26;-1.2675;116.829
137;"2025-04-05";"Pisang";"Balikpapan";654;"Buruk";11;-1.2675;116.829
138;"2025-04-27";"Apel";"Balikpapan";440;"Sedang";26;-1.2675;116.829
139;"2025-04-09";"Rambutan";"Balikpapan";397;"Buruk";12;-1.2675;116.829
140;"2025-04-21";"Apel";"Balikpapan";795;"Bagus";20;-1.2675;116.829
141;"2025-04-25";"Jeruk";"Balikpapan";603;"Bagus";20;-1.2675;116.829
142;"2025-04-23";"Apel";"Balikpapan";783;"Bagus";30;-1.2675;116.829
143;"2025-04-11";"Pisang";"Balikpapan";435;"Sedang";11;-1.2675;116.829
144;"2025-04-22";"Apel";"Balikpapan";992;"Bagus";26;-1.2675;116.829
145;"2025-04-28";"Pepaya";"Balikpapan";823;"Sedang";8;-1.2675;116.829
146;"2025-04-16";"Pepaya";"Balikpapan";712;"Buruk";8;-1.2675;116.829
147;"2025-04-17";"Rambutan";"Balikpapan";353;"Buruk";17;-1.2675;116.829
148;"2025-04-11";"Pepaya";"Balikpapan";651;"Bagus";7;-1.2675;116.829
149;"2025-04-08";"Pisang";"Balikpapan";772;"Sedang";14;-1.2675;116.829
150;"2025-04-17";"Durian";"Balikpapan";994;"Buruk";42;-1.2675;116.829
151;"2025-04-19";"Pisang";"Balikpapan";528;"Bagus";15;-1.2675;116.829
152;"2025-04-26";"Apel";"Balikpapan";390;"Sedang";28;-1.2675;116.829
153;"2025-04-10";"Durian";"Balikpapan";381;"Bagus";44;-1.2675;116.829
154;"2025-04-25";"Jeruk";"Balikpapan";322;"Sedang";21;-1.2675;116.829
155;"2025-05-04";"Rambutan";"Balikpapan";361;"Bagus";12;-1.2675;116.829
156;"2025-05-01";"Jeruk";"Balikpapan";459;"Bagus";20;-1.2675;116.829
157;"2025-04-03";"Rambutan";"Balikpapan";680;"Bagus";17;-1.2675;116.829
158;"2025-04-21";"Mangga";"Balikpapan";385;"Sedang";16;-1.2675;116.829
159;"2025-04-07";"Pepaya";"Balikpapan";463;"Sedang";8;-1.2675;116.829
160;"2025-04-15";"Jeruk";"Balikpapan";502;"Buruk";19;-1.2675;116.829
161;"2025-04-15";"Apel";"Balikpapan";727;"Sedang";26;-1.2675;116.829
162;"2025-04-19";"Pepaya";"Balikpapan";637;"Buruk";10;-1.2675;116.829
163;"2025-05-04";"Apel";"Balikpapan";578;"Bagus";27;-1.2675;116.829
164;"2025-04-11";"Apel";"Balikpapan";570;"Buruk";27;-1.2675;116.829
165;"2025-04-21";"Pisang";"Balikpapan";865;"Buruk";13;-1.2675;116.829
166;"2025-04-23";"Pepaya";"Balikpapan";381;"Buruk";8;-1.2675;116.829
167;"2025-04-02";"Pisang";"Balikpapan";302;"Bagus";14;-1.2675;116.829
168;"2025-05-03";"Durian";"Balikpapan";337;"Sedang";37;-1.2675;116.829
169;"2025-04-01";"Jeruk";"Balikpapan";427;"Buruk";18;-1.2675;116.829
170;"2025-04-06";"Pisang";"Balikpapan";223;"Bagus";11;-1.2675;116.829
171;"2025-04-12";"Apel";"Balikpapan";363;"Bagus";22;-1.2675;116.829
172;"2025-04-27";"Jeruk";"Balikpapan";666;"Buruk";18;-1.2675;116.829
173;"2025-04-09";"Apel";"Balikpapan";822;"Bagus";24;-1.2675;116.829
174;"2025-04-27";"Pepaya";"Balikpapan";264;"Sedang";10;-1.2675;116.829
175;"2025-04-09";"Pepaya";"Balikpapan";821;"Buruk";8;-1.2675;116.829
176;"2025-04-11";"Durian";"Balikpapan";245;"Bagus";45;-1.2675;116.829
177;"2025-04-09";"Rambutan";"Balikpapan";912;"Sedang";18;-1.2675;116.829
178;"2025-05-05";"Jeruk";"Balikpapan";838;"Bagus";19;-1.2675;116.829
179;"2025-05-05";"Mangga";"Balikpapan";279;"Buruk";17;-1.2675;116.829
180;"2025-04-24";"Rambutan";"Balikpapan";874;"Bagus";12;-1.2675;116.829
181;"2025-04-08";"Mangga";"Balikpapan";208;"Buruk";20;-1.2675;116.829
182;"2025-05-05";"Jeruk";"Balikpapan";741;"Sedang";20;-1.2675;116.829
183;"2025-04-09";"Pisang";"Balikpapan";698;"Bagus";10;-1.2675;116.829
184;"2025-04-03";"Pepaya";"Balikpapan";549;"Buruk";9;-1.2675;116.829
185;"2025-04-04";"Rambutan";"Balikpapan";235;"Buruk";17;-1.2675;116.829
186;"2025-04-04";"Rambutan";"Balikpapan";618;"Bagus";14;-1.2675;116.829
187;"2025-04-25";"Apel";"Balikpapan";857;"Bagus";27;-1.2675;116.829
188;"2025-04-14";"Pisang";"Balikpapan";223;"Sedang";14;-1.2675;116.829
189;"2025-05-03";"Rambutan";"Balikpapan";958;"Buruk";12;-1.2675;116.829
190;"2025-04-10";"Jeruk";"Balikpapan";583;"Sedang";22;-1.2675;116.829
191;"2025-04-26";"Durian";"Balikpapan";305;"Bagus";41;-1.2675;116.829
192;"2025-04-18";"Pisang";"Balikpapan";977;"Buruk";14;-1.2675;116.829
193;"2025-05-05";"Apel";"Balikpapan";598;"Bagus";24;-1.2675;116.829
194;"2025-04-25";"Pisang";"Balikpapan";402;"Bagus";11;-1.2675;116.829
195;"2025-05-04";"Durian";"Balikpapan";339;"Bagus";36;-1.2675;116.829
196;"2025-04-30";"Pisang";"Balikpapan";732;"Buruk";10;-1.2675;116.829
197;"2025-04-16";"Rambutan";"Balikpapan";355;"Bagus";14;-1.2675;116.829
198;"2025-04-18";"Rambutan";"Balikpapan";500;"Buruk";15;-1.2675;116.829
199;"2025-04-12";"Jeruk";"Balikpapan";296;"Bagus";21;-1.2675;116.829
200;"2025-04-26";"Mangga";"Balikpapan";401;"Buruk";18;-1.2675;116.829
201;"2025-05-04";"Mangga";"Balikpapan";976;"Buruk";15;-1.2675;116.829
202;"2025-04-11";"Jeruk";"Balikpapan";638;"Bagus";19;-1.2675;116.829
203;"2025-04-10";"Apel";"Balikpapan";929;"Bagus";25;-1.2675;116.829
204;"2025-04-03";"Apel";"Balikpapan";280;"Buruk";23;-1.2675;116.829
205;"2025-04-09";"Apel";"Balikpapan";531;"Buruk";22;-1.2675;116.829
206;"2025-04-07";"Apel";"Balikpapan";390;"Buruk";24;-1.2675;116.829
207;"2025-04-02";"Apel";"Balikpapan";305;"Sedang";21;-1.2675;116.829
208;"2025-04-23";"Apel";"Balikpapan";447;"Buruk";27;-1.2675;116.829
209;"2025-04-01";"Mangga";"Balikpapan";268;"Bagus";15;-1.2675;116.829
210;"2025-04-18";"Apel";"Balikpapan";270;"Buruk";21;-1.2675;116.829
211;"2025-04-01";"Mangga";"Balikpapan";263;"Sedang";17;-1.2675;116.829
212;"2025-05-04";"Pepaya";"Balikpapan";545;"Buruk";9;-1.2675;116.829
213;"2025-04-24";"Jeruk";"Balikpapan";316;"Bagus";22;-1.2675;116.829
214;"2025-04-28";"Rambutan";"Balikpapan";264;"Bagus";13;-1.2675;116.829
215;"2025-05-02";"Mangga";"Balikpapan";834;"Bagus";15;-1.2675;116.829
216;"2025-05-04";"Rambutan";"Balikpapan";670;"Sedang";15;-1.2675;116.829
217;"2025-04-15";"Jeruk";"Balikpapan";657;"Bagus";22;-1.2675;116.829
218;"2025-04-16";"Durian";"Balikpapan";350;"Buruk";36;-1.2675;116.829
219;"2025-04-09";"Durian";"Balikpapan";686;"Bagus";35;-1.2675;116.829
220;"2025-04-28";"Jeruk";"Balikpapan";210;"Bagus";20;-1.2675;116.829
221;"2025-04-25";"Rambutan";"Balikpapan";634;"Bagus";16;-1.2675;116.829
222;"2025-04-12";"Pisang";"Balikpapan";601;"Bagus";14;-1.2675;116.829
223;"2025-04-13";"Durian";"Balikpapan";230;"Buruk";42;-1.2675;116.829
224;"2025-04-25";"Durian";"Balikpapan";563;"Bagus";36;-1.2675;116.829
225;"2025-04-09";"Mangga";"Balikpapan";340;"Buruk";17;-1.2675;116.829
226;"2025-04-27";"Mangga";"Balikpapan";321;"Sedang";17;-1.2675;116.829
227;"2025-05-04";"Rambutan";"Balikpapan";330;"Sedang";12;-1.2675;116.829
228;"2025-04-14";"Jeruk";"Balikpapan";647;"Sedang";18;-1.2675;116.829
229;"2025-04-22";"Mangga";"Balikpapan";868;"Bagus";16;-1.2675;116.829
230;"2025-04-24";"Durian";"Balikpapan";947;"Buruk";36;-1.2675;116.829
231;"2025-05-03";"Pepaya";"Balikpapan";772;"Bagus";10;-1.2675;116.829
232;"2025-05-02";"Jeruk";"Balikpapan";326;"Bagus";18;-1.2675;116.829
233;"2025-04-08";"Durian";"Balikpapan";691;"Bagus";41;-1.2675;116.829
234;"2025-04-26";"Pisang";"Balikpapan";666;"Bagus";11;-1.2675;116.829
235;"2025-04-20";"Pisang";"Balikpapan";216;"Sedang";10;-1.2675;116.829
236;"2025-05-05";"Apel";"Balikpapan";955;"Sedang";23;-1.2675;116.829
237;"2025-04-19";"Pepaya";"Balikpapan";200;"Sedang";7;-1.2675;116.829
238;"2025-04-10";"Apel";"Balikpapan";437;"Buruk";20;-1.2675;116.829
239;"2025-04-17";"Pepaya";"Balikpapan";364;"Sedang";8;-1.2675;116.829
240;"2025-04-15";"Pepaya";"Balikpapan";210;"Buruk";10;-1.2675;116.829
241;"2025-04-10";"Rambutan";"Balikpapan";657;"Bagus";16;-1.2675;116.829
242;"2025-04-06";"Apel";"Balikpapan";927;"Bagus";27;-1.2675;116.829
243;"2025-04-12";"Pepaya";"Balikpapan";639;"Sedang";8;-1.2675;116.829
244;"2025-04-08";"Jeruk";"Balikpapan";605;"Bagus";18;-1.2675;116.829
245;"2025-05-04";"Apel";"Balikpapan";560;"Bagus";20;-1.2675;116.829
246;"2025-05-02";"Durian";"Balikpapan";958;"Bagus";44;-1.2675;116.829
247;"2025-05-05";"Pisang";"Balikpapan";433;"Buruk";11;-1.2675;116.829
248;"2025-04-19";"Mangga";"Balikpapan";597;"Buruk";16;-1.2675;116.829
249;"2025-04-21";"Mangga";"Balikpapan";539;"Bagus";16;-1.2675;116.829
250;"2025-04-11";"Durian";"Balikpapan";583;"Bagus";41;-1.2675;116.829
251;"2025-05-03";"Jeruk";"Balikpapan";958;"Sedang";22;-1.2675;116.829
252;"2025-04-23";"Rambutan";"Balikpapan";663;"Sedang";17;-1.2675;116.829
253;"2025-04-04";"Durian";"Balikpapan";268;"Bagus";40;-1.2675;116.829
254;"2025-04-16";"Durian";"Balikpapan";905;"Bagus";45;-1.2675;116.829
255;"2025-05-01";"Mangga";"Balikpapan";680;"Buruk";19;-1.2675;116.829
256;"2025-04-26";"Pepaya";"Balikpapan";387;"Sedang";9;-1.2675;116.829
257;"2025-04-28";"Durian";"Balikpapan";503;"Buruk";40;-1.2675;116.829
258;"2025-05-05";"Apel";"Balikpapan";332;"Bagus";25;-1.2675;116.829
259;"2025-04-27";"Durian";"Balikpapan";593;"Buruk";35;-1.2675;116.829
260;"2025-04-12";"Durian";"Balikpapan";838;"Sedang";39;-1.2675;116.829
261;"2025-05-02";"Jeruk";"Balikpapan";414;"Bagus";19;-1.2675;116.829
262;"2025-04-11";"Apel";"Balikpapan";502;"Sedang";26;-1.2675;116.829
263;"2025-04-29";"Durian";"Balikpapan";820;"Buruk";45;-1.2675;116.829
264;"2025-04-04";"Jeruk";"Balikpapan";925;"Bagus";21;-1.2675;116.829
265;"2025-04-12";"Mangga";"Balikpapan";324;"Sedang";16;-1.2675;116.829
266;"2025-04-03";"Rambutan";"Balikpapan";257;"Sedang";14;-1.2675;116.829
267;"2025-05-01";"Pepaya";"Balikpapan";786;"Bagus";10;-1.2675;116.829
268;"2025-04-15";"Jeruk";"Balikpapan";840;"Buruk";21;-1.2675;116.829
269;"2025-04-04";"Rambutan";"Balikpapan";895;"Buruk";16;-1.2675;116.829
270;"2025-04-29";"Durian";"Balikpapan";492;"Buruk";36;-1.2675;116.829
271;"2025-04-22";"Mangga";"Balikpapan";256;"Sedang";19;-1.2675;116.829
272;"2025-04-25";"Rambutan";"Balikpapan";562;"Bagus";17;-1.2675;116.829
273;"2025-04-02";"Apel";"Balikpapan";458;"Sedang";25;-1.2675;116.829
274;"2025-04-29";"Pepaya";"Balikpapan";676;"Bagus";9;-1.2675;116.829
275;"2025-05-04";"Jeruk";"Balikpapan";681;"Sedang";19;-1.2675;116.829
276;"2025-04-11";"Rambutan";"Balikpapan";693;"Buruk";13;-1.2675;116.829
277;"2025-05-03";"Pepaya";"Balikpapan";722;"Buruk";10;-1.2675;116.829
278;"2025-04-19";"Durian";"Balikpapan";686;"Bagus";36;-1.2675;116.829
279;"2025-04-17";"Pisang";"Balikpapan";494;"Bagus";13;-1.2675;116.829
280;"2025-04-14";"Durian";"Balikpapan";718;"Bagus";41;-1.2675;116.829
281;"2025-04-24";"Apel";"Balikpapan";936;"Buruk";27;-1.2675;116.829
282;"2025-04-13";"Durian";"Balikpapan";610;"Sedang";43;-1.2675;116.829
283;"2025-04-20";"Apel";"Balikpapan";796;"Sedang";24;-1.2675;116.829
284;"2025-04-06";"Jeruk";"Balikpapan";575;"Bagus";20;-1.2675;116.829
285;"2025-04-17";"Pepaya";"Balikpapan";782;"Bagus";8;-1.2675;116.829
286;"2025-04-23";"Mangga";"Balikpapan";331;"Bagus";18;-1.2675;116.829
287;"2025-04-30";"Durian";"Balikpapan";229;"Bagus";39;-1.2675;116.829
288;"2025-05-05";"Mangga";"Balikpapan";821;"Bagus";16;-1.2675;116.829
289;"2025-04-30";"Jeruk";"Balikpapan";902;"Buruk";19;-1.2675;116.829
290;"2025-04-20";"Durian";"Balikpapan";946;"Buruk";45;-1.2675;116.829
291;"2025-04-17";"Durian";"Balikpapan";545;"Buruk";42;-1.2675;116.829
292;"2025-04-02";"Apel";"Balikpapan";267;"Sedang";22;-1.2675;116.829
293;"2025-04-08";"Mangga";"Balikpapan";737;"Bagus";19;-1.2675;116.829
294;"2025-04-23";"Pisang";"Balikpapan";346;"Sedang";14;-1.2675;116.829
295;"2025-05-04";"Mangga";"Balikpapan";500;"Buruk";17;-1.2675;116.829
296;"2025-04-21";"Rambutan";"Balikpapan";486;"Sedang";17;-1.2675;116.829
297;"2025-04-06";"Mangga";"Balikpapan";863;"Sedang";20;-1.2675;116.829
298;"2025-04-25";"Apel";"Balikpapan";247;"Sedang";26;-1.2675;116.829
299;"2025-04-24";"Rambutan";"Balikpapan";848;"Sedang";14;-1.2675;116.829
300;"2025-04-10";"Pisang";"Balikpapan";299;"Sedang";13;-1.2675;116.829
301;"2025-04-08";"Apel";"Balikpapan";694;"Bagus";27;-1.2675;116.829
302;"2025-04-10";"Pisang";"Balikpapan";875;"Bagus";14;-1.2675;116.829
303;"2025-04-07";"Rambutan";"Balikpapan";435;"Buruk";15;-1.2675;116.829
304;"2025-04-27";"Pepaya";"Balikpapan";789;"Bagus";10;-1.2675;116.829
305;"2025-04-25";"Mangga";"Balikpapan";477;"Bagus";19;-1.2675;116.829
306;"2025-04-04";"Durian";"Balikpapan";981;"Sedang";39;-1.2675;116.829
307;"2025-05-02";"Rambutan";"Balikpapan";853;"Sedang";12;-1.2675;116.829
308;"2025-04-09";"Mangga";"Balikpapan";426;"Sedang";16;-1.2675;116.829
309;"2025-04-25";"Jeruk";"Balikpapan";887;"Bagus";20;-1.2675;116.829
310;"2025-04-30";"Pisang";"Balikpapan";951;"Bagus";14;-1.2675;116.829
311;"2025-04-21";"Durian";"Balikpapan";697;"Sedang";39;-1.2675;116.829
312;"2025-04-09";"Jeruk";"Balikpapan";463;"Bagus";18;-1.2675;116.829
313;"2025-04-13";"Pisang";"Balikpapan";350;"Buruk";14;-1.2675;116.829
314;"2025-04-13";"Pisang";"Balikpapan";443;"Buruk";12;-1.2675;116.829
315;"2025-04-04";"Jeruk";"Balikpapan";792;"Buruk";22;-1.2675;116.829
